Serving HTTP on :: port 8080 (http://[::]:8080/) ...
::1 - - [04/Apr/2026 14:56:32] "GET /Service_WaterManage/frontend/admin.html HTTP/1.1" 304 -
::1 - - [04/Apr/2026 15:00:52] "GET /Service_WaterManage/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:00:52] "GET /Service_WaterManage/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:01:24] "GET /Service_WaterManage/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:01:24] "GET /Service_WaterManage/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:01:26] "GET /Service_WaterManage/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:01:26] "GET /Service_WaterManage/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:02:15] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:02:15] "GET /Service_MeetingRoom/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:02:15] "GET /Service_MeetingRoom/frontend/favicon.svg HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:02:37] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 304 -
::1 - - [04/Apr/2026 15:02:40] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 304 -
::1 - - [04/Apr/2026 15:02:42] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 304 -
::1 - - [04/Apr/2026 15:10:18] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:10:18] "GET /Service_MeetingRoom/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:10:20] "GET /Service_MeetingRoom/frontend/admin.html HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:10:20] "GET /Service_MeetingRoom/frontend/vue.global.js HTTP/1.1" 200 -
::1 - - [04/Apr/2026 15:10:24] "GET /Service_MeetingRoom/frontend/favicon.svg HTTP/1.1" 200 -
